Saffron Detection Run — 20260526_134507
Mode            : real
Scenes          : 1111
Total detected  : 6096
Mean detected   : 5.5
Mean avg score  : 0.4014
Highest score   : 0.7591
Best scene      : Image_151_jpg.rf.spV9r9WrtXpibKOiJoFo.jpg
Threshold       : 0.45
Ensemble weights: RF=0.35, CNN=0.35, HSV=0.2, Depth=0.1

Scene                             Det   AvgScore   MaxScore
  8af2e63024a763d6cc9e4517f5e2      3     0.5746     0.6106
  8dc9ef25ef06cd45bdd178f9027a      0     0.0000     0.0000
  8ecc2d1182fabead2fe3c88b9939     17     0.4925     0.5287
  9140459188b640ccc7db07578ef4     22     0.5333     0.6350
  9346e31df5e19b1255055d3abc3e      7     0.4935     0.5636
  93e59a5d26672c7f03882ca9119f      1     0.4600     0.4600
  95c9011c2944732cd171540beee2      1     0.5421     0.5421
  96b756987a45d4260bebc1bf3353      0     0.0000     0.0000
  99197694339bacd19a7820ee0ab6      0     0.0000     0.0000
  991f2cdc45dc8130ca139a5b15f1      8     0.4955     0.5683
  9_jpg.rf.39EuMSW0MtY8SyhUSeq      2     0.5253     0.5959
  9_jpg.rf.ViHcmimrEMZxx4hY0RY      1     0.5449     0.5449
  9c073256657fe96e801420e077db      4     0.5454     0.5648
  9ddb6b2e8f36f9b46f1a113dd5ea      2     0.5225     0.5268
  Crocus-Safron_webp.rf.oAxLOH      2     0.5249     0.5374
  Crocus-sativus_jpg.rf.v55UpY     12     0.6152     0.6578
  Crocus_Sativus_517649629-SHU     13     0.5154     0.5528
  Crocus_sativus1_jpg.rf.jr4Ut      4     0.5423     0.6147
  Growing-Saffron-Saffron-Flow      1     0.4539     0.4539
  IMG_0233xgn_jpg.rf.pYxXxtqKY      7     0.5039     0.5765
  Image_101_jpg.rf.EchgP3GAN4P      1     0.6480     0.6480
  Image_102_jpg.rf.SXoPazkK0WX      0     0.0000     0.0000
  Image_104_jpg.rf.5pe3mbTRxDi      0     0.0000     0.0000
  Image_105_jpg.rf.OBupXQwrvlP      4     0.4760     0.5114
  Image_106_jpg.rf.41N2Bhlesqk      3     0.5671     0.5966
  Image_107_jpg.rf.HH9Nz7jwtID      0     0.0000     0.0000
  Image_108_jpg.rf.ZKLKin09TTo     30     0.5352     0.6539
  Image_109_jpg.rf.5mj4A0H9tb9     12     0.6211     0.6899
  Image_10_jpg.rf.wl3DcpPvK0Fi      1     0.6317     0.6317
  Image_110_jpg.rf.KNWHzGugMu7     10     0.5929     0.6684
  Image_111_jpg.rf.J00nwHc5tNH      4     0.5259     0.5515
  Image_112_jpg.rf.p9K7nhdx6eS     11     0.5439     0.5818
  Image_113_jpg.rf.pNd4QSkyqK5     18     0.5570     0.6975
  Image_114_jpg.rf.66ZVsRxqDKP     35     0.5149     0.6237
  Image_116_jpg.rf.BHNrurbIV3Y      0     0.0000     0.0000
  Image_117_jpg.rf.RhR9DwrzSaB      2     0.4859     0.5005
  Image_118_jpg.rf.IA5KUjhBRPN      8     0.5533     0.6409
  Image_119_jpg.rf.wEfyYnxUkbs      4     0.5176     0.5610
  Image_11_jpg.rf.ugZaSCbtIAgO      3     0.4979     0.5362
  Image_120_jpg.rf.GnBVqnJanbW      7     0.5205     0.6167
  Image_121_jpg.rf.AVyccaWUJuj      1     0.5158     0.5158
  Image_122_jpg.rf.vRqtUBYxubQ      5     0.5006     0.5409
  Image_123_jpg.rf.wxwv6dlsIh7      0     0.0000     0.0000
  Image_124_jpg.rf.rdbCk2owkYP     15     0.5726     0.6576
